id,keyword
1,BETA-CHITIN; ALPHA-CHITIN; SHRIMP SHELL; CHITOSAN; CRAB; REMOVAL; WASTES
2,REMOVAL
3,STIPA TENACISSIMA CELLULOSE; HYDROXYETHYL CELLULOSE; COPPER(II) IONS; ADSORPTION; CHITOSAN; WASTE; SORPTION; CD(II); CU(II); WATER
4,SENSITIZED SOLAR-CELLS; ORGANIC SEMICONDUCTORS; ELECTRON INJECTION; MOLECULAR DESIGN; COMBINATION; PERFORMANCE; DERIVATIVES; DEPENDENCE
5,ELECTRONIC-STRUCTURE; DERIVATIVES
6,POLYHEX NANOTUBES
7,TEXTILE WASTE-WATER; COAGULATION-FLOCCULATION; PHOTO-FENTON; EFFLUENTS; REMOVAL; TECHNOLOGIES; DEGRADATION; PERFORMANCE; MANAGEMENT; OXIDATION
8,DERIVATIVES; CORROSION
9,VEGETABLES; EXTRACTS; PLANTS
10,SOLID-STATE NMR; SKELETAL ISOMERIZATION; PROMOTED ZIRCONIA; IONIC LIQUIDS; BUTANE; MANGANESE; PENTANE; IRON; MECHANISM; ZEOLITES
11,OPTOELECTRONIC PROPERTIES; CONJUGATED POLYMERS; THIOPHENE; BENZOTHIADIAZOLE; COPOLYMERS
12,WASTE; XRD
13,WET PEROXIDE OXIDATION; CATALYTIC-PROPERTIES; AQUEOUS-SOLUTIONS; DEGRADATION; ADSORPTION; ORANGE
14,RIVER
15,ESSENTIAL OIL; GC-MS
16,MOLECULAR-DYNAMICS SIMULATION; QUANTUM-CHEMICAL CALCULATIONS; SCHIFF-BASE COMPOUNDS; MILD-STEEL; SULFURIC-ACID; H2SO4; IRON; DERIVATIVES; ADSORPTION; HCL
17,DENSITY-FUNCTIONAL THEORY; ELECTRONIC-STRUCTURE; INHIBITION; INDEXES
18,COLD-ROLLED STEEL; MONTE-CARLO-SIMULATION; M SULFURIC-ACID; SUBSTITUTIONAL ADSORPTION-ISOTHERMS; MILD-STEEL; SYNERGISTIC INHIBITION; PHOSPHORIC-ACID; THERMODYNAMIC CHARACTERIZATION; METAL DISSOLUTION; CHLORIDE-ION
19,TRANSFORM INFRARED-SPECTROSCOPY; HUMIC ACIDS; MATTER FRACTIONS; PAPER SLUDGE; SOIL; WATER; PYROLYSIS; INDEXES; BIOMASS
20,FIBERS; CONDUCTIVITY; BEHAVIOR
21,CHROMATOGRAPHIC ANALYSIS; ARGAN OIL; VARIABILITY; IMPACT; ACID
22,CYCLOADDITION REACTIONS; ELECTRON-DENSITY; DFT; REACTIVITY; MECHANISM; INDEX
23,1,3,4-OXADIAZOLE DERIVATIVES; ANTIMICROBIAL ACTIVITIES; ANTICONVULSANT ACTIVITY; BIOLOGICAL EVALUATION; DESIGN; ANTIBACTERIAL; POTENT; 1,3,4-THIADIAZOLE; 1,2,3-THIADIAZOLE; ANALOGS
24,CARBON-STEEL; MILD-STEEL; INHIBITOR; OPTION; FILM
25,CRYSTAL-STRUCTURE; COMPLEXES; ANTIOXIDANT; CORROSION
26,ESSENTIAL OIL; EXTRACTS
27,AQUEOUS-SOLUTIONS; METHYLENE-BLUE; WASTE-WATER; BISPHENOL-A; ADSORPTION; EQUILIBRIUM; WOOD; KINETICS; SHELL; IONS
28,IONIC LIQUIDS; ROOM-TEMPERATURE; DISSOLUTION; SOLVENTS; DILUTE
29,1 M HCL; STEEL CORROSION; CARBON-STEEL; SULFURIC-ACID; DERIVATIVES; ADSORPTION; BEHAVIOR; ALUMINUM; SURFACE; COPPER
30,YOGURT; LACTOBACILLI; INFECTIONS; BACTERIA; CHILDREN; STRAINS; O157H7; MILK
31,AZADIRECTA-INDICA NEEM; BENZOXAZOLE DERIVATIVES; SOAPS; AGENTS
32,HETEROJUNCTION SOLAR-CELLS; INTRAMOLECULAR PROTON-TRANSFER; OPEN-CIRCUIT VOLTAGE; PHOTOPHYSICAL PROPERTIES; CHARGE-TRANSFER; BASIS-SET; DERIVATIVES; ACCEPTOR; COPOLYMER; DFT
33,MILL WASTE-WATER; ANAEROBIC-DIGESTION; PROSPECTS
34,ESSENTIAL OIL; CHEMICAL-COMPOSITION; ANTIMICROBIAL ACTIVITY; ANTIOXIDANT; BOISS.
35,WATER-ABSORPTION; MOISTURE ABSORPTION; CURE KINETICS; SORPTION; RESIN; RUBBER; DGEBA
36,CARBONIUM IONS; FERROCENE; ELECTRODE; REALIZATION; OXIDATION; MEDIA; BASE
37,DENSITY-FUNCTIONAL THEORY; CARBON-STEEL; PERFORMANCE
38,RHODAMINE-B REMOVAL; PHOTOCATALYTIC DEGRADATION; METHYLENE-BLUE; ADSORPTION; DYE; OXIDATION; SORPTION; WATER
39,PURE SILICA; AMORPHOUS SILICA; RICE STRAW; SUGARCANE BAGASSE; ACTIVATED CARBON; EXTRACTION
40,CONSTRUCTED WETLANDS; ADSORPTION
41,URBAN POLLUTANT DISPERSION; USE REGRESSION-MODEL; AIR-POLLUTION; VALIDATION; EMISSIONS; VEHICLE; CALINE4
42,VARROA-DESTRUCTOR ANDERSON; APIS-MELLIFERA; PLANT-EXTRACTS; TETRANYCHUS-URTICAE; AROMATIC-COMPOUNDS; JACOBSONI ACARI; ANTIOXIDANT; HYMENOPTERA; TOXICITY; COLONIES
43,HEXAVALENT CHROMIUM; REMOVAL; EQUILIBRIUM; KINETICS; THERMODYNAMICS; BIOSORPTION; SORBENTS; ISOTHERM; SORPTION; SURFACE
44,HYDROGEN-PRODUCTION; GLYCEROL; FUEL; DERIVATIVES; PRECURSORS; OXIDES; MG; AL
45,CHEMICAL ACTIVATION; ADSORPTION PROPERTIES; PHOSPHORIC-ACID; PORE STRUCTURE; OLIVE STONES; LOW-COST; REMOVAL; DYES; WASTE; H3PO4
46,OXIDE NANOPARTICLES; HYDROGEN-PEROXIDE; ELECTRODE; GLUCOSE
47,CINNAMIC ACID; DERIVATIVES; AMARANTH; DNA
48,CARBON-STEEL; INHIBITION; ADSORPTION; ACID
49,ORGANIC-MATTER; OXYGEN
50,COAGULATION; REMOVAL
51,ANAEROBIC-DIGESTION; AGRICULTURAL WASTE; BIOGAS PRODUCTION; CO-DIGESTION; FUTURE; MANURE
52,ELECTROCHEMICAL DETECTION; LEAD II
53,EMBRYO-TRANSFER CYCLES; MEDICINAL-PLANTS; FLAVONOIDS; GONADOTROPIN
54,EFFICIENT SYNTHESIS; MECHANISM
55,SALINIZATION PROCESS; CHAOUIA
56,SUBSTANCES
57,BIODEGRADATION
58,SCHIFF-BASE COMPOUNDS; MILD-STEEL; HYDROCHLORIC-ACID; ETHANOL EXTRACT; ADSORPTION PROPERTIES; GREEN APPROACH; HCL SOLUTION; BEHAVIOR
59,EPOXY-RESIN; CHEMICAL-MODIFICATION
60,ENERGY-PRODUCTION; RAPID PYROLYSIS; BIOMASS; GASIFICATION
61,MILD-STEEL; ELECTROCHEMICAL-BEHAVIOR; SCHIFF-BASE; ALUMINUM; HCL; THIOSEMICARBAZONE; SUBSTITUTION; DERIVATIVES; MOLECULE; IODIDE
62,MILD-STEEL; CORROSION INHIBITION; IN-SITU; DISSOLUTION; ADSORPTION; ACID
63,SOLID-LIQUID EXTRACTION; SOLVENT-EXTRACTION; PHASE EXTRACTION; ZINC IONS; HYDROXYAPATITE; SORPTION; CADMIUM; COPPER; SILVER; ACID
64,MILD-STEEL; FLAVONOID COMPOSITION; PLANT-EXTRACTS; OIL
65,MOLECULAR-ORBITAL THEORY; EXTENDED BASIS-SETS; ORGANOMETALLIC COMPOUNDS; CORROSION; DENSITY
66,BAGASSE FLY-ASH; ACTIVATED CARBON; HEAVY-METALS; WASTE-WATER; REMOVAL; EQUILIBRIUM; CLAY; KINETICS; EFFLUENT; PB(II)
67,ESSENTIAL OIL; ANTIMICROBIAL ACTIVITY; BACTERIA; L.
68,BIOLOGICAL TREATMENT
69,POSTHARVEST PHYTOPATHOGENIC FUNGI; BIOLOGICAL-ACTIVITIES; CHEMICAL-COMPOSITION; IN-VITRO; L.
70,ELECTROSPRAY-IONIZATION MS; X-RAY-DIFFRACTION; DIORGANOTIN(IV) DERIVATIVES; ANTITUMOR-ACTIVITY; COMPLEXES; NMR; ENDOPEPTIDASE; MECHANISMS; INHIBITORS; MOSSBAUER
71,PLANT-CELL CULTURE; SECONDARY METABOLITES; ANTICANCER
72,LOW-COST ADSORBENTS; REACTIVE DYES; FABRICS; SHELLS
73,0.5 M H2SO4; HYDROCHLORIC-ACID; NITRIC-ACID; MILD-STEEL; C-STEEL; COPPER; HCL; ALUMINUM; ALLOY; H3PO4
74,DENSITY-FUNCTIONAL THERMOCHEMISTRY; DERIVATIVES; RESISTANCE; ANALOGS
75,DENSITY-FUNCTIONAL THEORY; TRIETHYL PHOSPHITE; HARDNESS; ACID
76,DIHYDROFOLATE-REDUCTASE; NEURAL-NETWORKS; MUTANT
77,MEDICINAL-PLANTS; LOCALIZATION
78,CADMIUM; MERCURY; LEAD; ELEMENTS
79,SORPTION ISOTHERMS; ADSORPTION-ISOTHERMS; FOODS
80,WASTE-WATER; ACTIVATED CARBON; ACID; REMOVAL; DYES; TECHNOLOGIES
81,EXPOSURE; WORKERS
82,ORGANIC-MATTER; EROSION RISK; AGGREGATE STABILITY
83,CARBON-DIOXIDE CAPTURE
84,ESSENTIAL OIL
85,2-ACETYLPYRIDINE THIOSEMICARBAZONES; MOLECULAR-STRUCTURES; STRUCTURAL ASPECTS; CELL; ANTIMALARIAL; DERIVATIVES; CRYSTAL; OXIMES
86,SELECTIVE FLOTATION; FROTH STABILITY; SALINE WATER; COPPER; CALCIUM; IMPACT; MECHANISMS; ADSORPTION; XANTHATE; SULFATE
87,ACTIVATED CARBON; METHYLENE-BLUE; WASTE-WATER; ADSORPTION; BED; PHARMACEUTICALS; GEOPOLYMERS; BIOSORPTION; DYES
88,PRETREATMENT
89,ISOTHERMS; ADSORBENT; BENTONITE; CHITOSAN; SURFACE; COLOR
90,DESIGN
91,ATOMIC-ABSORPTION SPECTROPHOTOMETRY
92,NICKEL(II); COPPER(II); ACID; COBALT(II); CU(II)
93,GAS SENSORS; COMPOSITES
94,OXIDE-COATED SAND; DRINKING-WATER; ADSORPTION; EQUILIBRIUM; ARSENATE; FERRIHYDRITE; ARSENITE; REMOVAL; ENERGY
95,HYDROCHLORIC-ACID SOLUTION; MILD-STEEL; M HCL; ADSORPTION; DERIVATIVES; ALUMINUM; IRON
96,METHYLENE-BLUE; WASTE-WATER; REMOVAL
97,PIGEONS; GREAT; ACCUMULATION; BIOMONITORS; SPARROWS; CADMIUM; LEAD
98,CHEMICAL-COMPOSITION; ANTIOXIDANT ACTIVITY; ANTIMICROBIAL ACTIVITY; ANTIFUNGAL ACTIVITY; LAMIACEAE; HERBS
99,CYCLOADDITION REACTIONS; REACTIVITY
100,ACID; AFM
101,CHEMICAL-COMPOSITION; L. PENNYROYAL; COORDINATION
102,1,3,4-OXADIAZOLE
103,STANDARD EN 196-1; CEMENT MORTAR; FREE LIME; HYDRATION; BEHAVIOR; EVOLUTION
104,ANTIOXIDANT ACTIVITY; POLYPHENOLS; CAPACITY; SOLVENT; OIL
105,CHARGED POLYELECTROLYTE/SURFACTANT MIXTURES; AGGREGATION BEHAVIOR; POLY(STYRENE SULFONATE); NEUTRON REFLECTION; ETHYLENE-GLYCOL; BROMIDE; FLUORESCENCE; ADSORPTION
106,ELECTRON CONTAMINATION
107,WASTE-WATER; REMOVAL; DYE
